name,address,city,country,postcode,state,categories,menu item,item value,currency,item description
Bertucci's,2929 Berlin Tpke,Newington,US,6111,Htfd,"Restaurants,Italian Restaurants,Pizza",Any Brick Oven Pizza,,,Small
Bertucci's,2929 Berlin Tpke,Newington,US,6111,Htfd,"Restaurants,Italian Restaurants,Pizza",Bbq Chicken Pizza,10.99,USD,BBQ chicken marinated in a smoky hickory BBQ sauce topped with caramelized onions and mozzarella cheese.
Bertucci's,2929 Berlin Tpke,Newington,US,6111,Htfd,"Restaurants,Italian Restaurants,Pizza",Buffalo Chicken Flatbread Pizza,8.49,USD,Grilled chicken tossed with buffalo sauce. Topped with Romano and Mozzarella cheese and drizzled with blue cheese dressing.
Bertucci's,2929 Berlin Tpke,Newington,US,6111,Htfd,"Restaurants,Italian Restaurants,Pizza",Cheese Party Pizza,5,USD,
Bertucci's,2929 Berlin Tpke,Newington,US,6111,Htfd,"Restaurants,Italian Restaurants,Pizza",Cheese Pizza,10.29,USD,
Bertucci's,2929 Berlin Tpke,Newington,US,6111,Htfd,"Restaurants,Italian Restaurants,Pizza",Margherita Flatbread Pizza,,,"Fresh mozzarella, house made tomato sauce and Romano cheese topped with fresh basil."
Bertucci's,10333 S Roberts Rd,Palos Hills,US,60465,IL,Italian Restaurant,Pizza Bread or Tomato Bread,3.75,USD,
Bertucci's,194 Buckland Hills Dr,Manchester,US,6042,CT,"Restaurant,Restaurants,Italian Restaurant,Italian Restaurants,Pizza",Any Brick Oven Pizza,,,Small
Bertucci's,194 Buckland Hills Dr,Manchester,US,6042,CT,"Restaurant,Restaurants,Italian Restaurant,Italian Restaurants,Pizza",Bbq Chicken Pizza,10.99,USD,BBQ chicken marinated in a smoky hickory BBQ sauce topped with caramelized onions and mozzarella cheese.
Bertucci's,194 Buckland Hills Dr,Manchester,US,6042,CT,"Restaurant,Restaurants,Italian Restaurant,Italian Restaurants,Pizza",Buffalo Chicken Flatbread Pizza,8.49,USD,Grilled chicken tossed with buffalo sauce. Topped with Romano and Mozzarella cheese and drizzled with blue cheese dressing.
Bertucci's,194 Buckland Hills Dr,Manchester,US,6042,CT,"Restaurant,Restaurants,Italian Restaurant,Italian Restaurants,Pizza",Cheese Party Pizza,5,USD,
Bertucci's,194 Buckland Hills Dr,Manchester,US,6042,CT,"Restaurant,Restaurants,Italian Restaurant,Italian Restaurants,Pizza",Cheese Pizza,10.29,USD,
Bertucci's,2847 State Route 35,Hazlet,US,,NJ,Italian Restaurant,Any Brick Oven Pizza,,,Small
Bertucci's,2847 State Route 35,Hazlet,US,,NJ,Italian Restaurant,Bbq Chicken Pizza,10.99,USD,BBQ chicken marinated in a smoky hickory BBQ sauce topped with caramelized onions and mozzarella cheese.
Bertucci's,2847 State Route 35,Hazlet,US,,NJ,Italian Restaurant,Buffalo Chicken Flatbread Pizza,8.49,USD,Grilled chicken tossed with buffalo sauce. Topped with Romano and Mozzarella cheese and drizzled with blue cheese dressing.
Bertucci's,2847 State Route 35,Hazlet,US,,NJ,Italian Restaurant,Cheese Party Pizza,5,USD,With purchase of any Party Pizza. (Carry out only) Mention this offer when ordering
Bertucci's,2847 State Route 35,Hazlet,US,,NJ,Italian Restaurant,Cheese Pizza,10.29,USD,
Bertucci's,2847 State Route 35,Hazlet,US,,NJ,Italian Restaurant,Margherita Flatbread Pizza,,,"Fresh mozzarella, house made tomato sauce and Romano cheese topped with fresh basil."
Carvalho's Brazilian Kitchen,23623 N Scottsdale Rd D107,Scottsdale,US,85255,AZ,"Restaurant,Restaurants,Brazilian Restaurants",,,,
Rosa Mexicano,1063 1st Ave,New York,US,10022,Manhattan,Restaurants,,,,
The Pizza Parlor,2810 Business Center Dr,Pearland,US,77584,TX,Italian Restaurant,,,,
The Pizza Parlor,2810 Business Center Dr,Pearland,US,77584,TX,Italian Restaurant,,,,
The Pizza Parlor,2810 Business Center Dr,Pearland,US,77584,TX,Italian Restaurant,,,,
The Pizza Parlor,2810 Business Center Dr,Pearland,US,77584,TX,Italian Restaurant,,,,
Rick's Cabaret,3551 Lafayette Rd,Indianapolis,US,46222,IN,"Adult Entertainers,American Restaurant,Bar,Strip Club",,,,
Mighty Mick's Pub & Cafe,10727 Randolph Saint Crown Point In,Crown Point,US,46307,Palmer,Bar and Sports Bar,,,,
Prison Brews Brewery & Restaurant,305 Ash St,Jefferson City,US,65101,Honey Creek,Bar and Gastropub,,,,
Prison Brews Brewery & Restaurant,305 Ash St,Jefferson City,US,65101,Honey Creek,Bar and Gastropub,,,,
Prison Brews Brewery & Restaurant,305 Ash St,Jefferson City,US,65101,Honey Creek,Bar and Gastropub,,,,
Prison Brews Brewery & Restaurant,305 Ash St,Jefferson City,US,65101,Honey Creek,Bar and Gastropub,,,,
Prison Brews Brewery & Restaurant,305 Ash St,Jefferson City,US,65101,Honey Creek,Bar and Gastropub,,,,
Prison Brews Brewery & Restaurant,305 Ash St,Jefferson City,US,65101,Honey Creek,Bar and Gastropub,,,,
Prison Brews Brewery & Restaurant,305 Ash St,Jefferson City,US,65101,Honey Creek,Bar and Gastropub,,,,
Moonlight Cafe,4140 Carlisle Rd,Dover,US,17315,Davidsburg,"Restaurant,Italian Restaurant",,,,
Moonlight Cafe,4140 Carlisle Rd,Dover,US,17315,Davidsburg,"Restaurant,Italian Restaurant",,,,
Guidos,9563 Kings Charter Doctor B,Ashland,US,23005,VA,Restaurant,,,,
Country Bagel Bakery,145 E Gay St,West Chester,US,,PA,"Bagels,Bakeries,Restaurants,Restaurant,Breakfast Brunch & Lunch Restaurants,,Bagel Shop,Breakfast Spot,Coffee Shop",Pizza Bagel,,USD,with pepperoni
Country Bagel Bakery,145 E Gay St,West Chester,US,,PA,"Bagels,Bakeries,Restaurants,Restaurant,Breakfast Brunch & Lunch Restaurants,,Bagel Shop,Breakfast Spot,Coffee Shop",Pizza Bagel,,USD,with mushroom
Country Bagel Bakery,145 E Gay St,West Chester,US,,PA,"Bagels,Bakeries,Restaurants,Restaurant,Breakfast Brunch & Lunch Restaurants,,Bagel Shop,Breakfast Spot,Coffee Shop",Pizza Bagel,,USD,with pepperoni & mushroom
Country Bagel Bakery,145 E Gay St,West Chester,US,,PA,"Bagels,Bakeries,Restaurants,Restaurant,Breakfast Brunch & Lunch Restaurants,,Bagel Shop,Breakfast Spot,Coffee Shop",Pizza Bagel (plain),2.59,USD,
Country Bagel Bakery,145 E Gay St,West Chester,US,,PA,"Bagels,Bakeries,Restaurants,Restaurant,Breakfast Brunch & Lunch Restaurants,,Bagel Shop,Breakfast Spot,Coffee Shop",Pizza Bagel With Mushroom,3.29,USD,
Country Bagel Bakery,145 E Gay St,West Chester,US,,PA,"Bagels,Bakeries,Restaurants,Restaurant,Breakfast Brunch & Lunch Restaurants,,Bagel Shop,Breakfast Spot,Coffee Shop",Pizza Bagel With Pepperoni,3.29,USD,
Country Bagel Bakery,145 E Gay St,West Chester,US,19380,PA,"Bagels,Bakeries,Restaurants,Restaurant,Breakfast Brunch & Lunch Restaurants,,Bagel Shop,Breakfast Spot,Coffee Shop",Pizza Bagel With Pepperoni and Mushroom,3.59,USD,
